,MAE,MSE,RMSE,MAPE,R² Score
Linear Regression,3.9081990646323757,27.195786950352538,5.214958000823453,1783360849506210.5,0.6372337544211228
XGBoost,1.6432938911236907,7.444758000855057,2.728508383871132,258019768048860.3,0.9006939231380291
LSTM,4.0848641517643145,38.63719646658146,6.215882597554547,3526994201928750.0,0.4927346114008031
GRU,4.25590668041006,37.56445064664282,6.128984471072089,2571504091778896.5,0.5068186256405527
BiLSTM,4.20838627969708,38.04576822700009,6.168125179258288,2963261322419650.5,0.500499436574888
